course_id,tag_id
2,1
2,101
2,102
2,208
4,60
4,102
4,187
4,205
7,60
7,81
7,102
7,187
7,205
8,195
8,206
9,195
14,10
14,199
19,144
20,195
20,206
21,81
21,102
21,187
21,205
23,144
26,105
26,199
26,200
26,207
29,29
29,183
30,20
30,175
30,199
31,10
31,199
33,31
33,164
33,180
41,144
50,202
55,29
56,105
56,207
71,144
74,210
80,198
88,28
88,202
89,47
89,211
91,198
92,105
92,200
92,207
93,3
93,101
93,102
93,208
94,99
94,172
96,3
98,198
98,203
102,32
102,33
106,2
106,101
106,102
110,105
110,200
112,10
112,199
113,2
113,101
113,102
114,2
114,101
114,102
114,208
115,2
115,101
115,102
115,208
116,105
116,200
116,207
122,148
122,206
123,27
123,202
124,10
124,31
124,199
124,207
127,38
127,99
130,29
133,210
135,83
135,101
135,147
135,199
137,146
138,85
138,152
138,175
141,29
142,85
142,147
143,198
144,85
144,151
144,152
144,210
145,10
145,199
145,207
146,31
146,164
146,180
147,60
147,102
147,187
147,205
148,60
148,102
148,187
148,205
153,32
153,33
153,160
156,144
162,32
162,47
163,144
163,215
165,183
166,170
166,224
168,155
169,31
169,163
169,164
170,3
170,32
170,101
170,208
171,183
172,148
172,195
173,183
174,195
175,195
176,29
176,153
177,38
177,220
178,38
181,27
182,81
182,102
182,187
182,205
183,81
183,102
183,187
183,205
184,144
185,148
185,170
187,206
189,101
189,198
189,203
191,224
192,206
192,212
192,213
192,214
196,10
198,170
198,224
202,38
202,220
203,172
204,148
205,218
205,221
206,218
207,218
207,219
208,216
208,218
209,217
209,218
210,218
210,221
211,218
211,222
212,217
212,218
213,200
213,210
214,200
214,210
214,223
215,200
215,210
215,223
216,200
216,210
216,223
217,200
217,210
217,223
219,148
220,218
221,218
224,218
226,200
226,210
226,223
228,146
228,195
239,10
245,101
245,198
245,203
246,101
246,198
246,203
247,198
247,225
265,31
272,47
272,211
311,148
