id,user_id,title,bio,created_at,updated_at
1,6,Instructor,"A Sanford, NC native, Elizabeth graduated from North Carolina State University (GO PACK) with a bachelor's degree in social work and spent 8 years in elementary education in Dallas before coming to the Co-Lab. She took an interest in the intersection between technology and education while in working on her master's degree in education at Southern Methodist University in Dallas. As the least tech-y person at the Co-Lab, Elizabeth organizes First Friday and teaches InDesign, soap, candle-making, and sewing classes. If you want start a conversation with her, ask her about memes, dogs, almost any tv show, and the gloriousness that is pupusas. 
 ",2022-08-11 20:25:32.799017,2023-10-23 14:08:08.841173
2,1,"Analyst IT, Sr.",Danai is a Sr IT Analyst at Duke University. ,2022-08-12 17:09:26.170715,2023-08-23 14:13:20.066730
3,8,Instructor,"Tom attended Reed College in Portland, Oregon and has a Bachelors, Masters and ""ABD"" PhD in Computer Science from Florida International University in Miami. He has been with Duke Research Computing since 2008. Outside of work Tom enjoys spending time with his family, dog and undertaking a variety of home remodeling and electronics projects.",2022-08-12 17:10:02.318802,2023-06-02 14:28:42.268726
4,9,Instructor,Teach Intro to Epoxy,2022-08-12 17:10:22.346671,2023-04-10 21:13:21.469641
5,5,Full Stack Developer,"Anni graduated from Duke University with a Master degree in Computational Media, and she is a full-time developer and educator at the Innovation Co-Lab. She is passionate about Web Development, User Experience Design, and Game Design. Anni teaches Javascript, Python, R and Git at the Co-Lab. Outside of work, Anni loves to hangout with Yuki(her cat), make food and play games.",2022-08-12 17:10:43.188303,2023-08-16 19:00:59.789563
6,10,Instructor,"David has spent 18 years helping make Virtual Reality (VR) at Duke a “reality”, and recently joined the Co-Lab in 2021. He has personally developed for and mentored many VR/AR projects, contributed to numerous academic papers, and holds several patents. He teaches roots courses on topics such as: game engines (Unity and BabylonJS), social VR platforms (Mozilla Hubs), and Arduino microcontrollers. He originally came up through the world of computer science at the University of Illinois Urbana-Champaign (UIUC). Outside of work he volunteers to help people fix their bicycles at the Durham Bike Co-op, and has been a musician in many local area bands.",2022-08-12 17:11:01.422173,2023-10-23 19:04:52.882915
7,11,Instructor,"Barbara is the manager of Duke OIT’s Creative + User Experience (CrUX) team, a user-centered design practice focused on problem solving that meets both user and business needs. She has over 20 years of design experience, including visual, user experience, brand, identity, and product design. She thrives on building community through creative collaboration, and she strives to lead both the team and projects with clear strategic direction and empathy. Outside of work she is an avid playlist curator and greatly appreciates honeybees, documentary photography, art, and house plants.",2022-08-12 17:11:22.669367,2023-09-07 15:33:35.786340
8,12,Instructor,Jen is a User Interface (UI) Designer on the Creative and User Experience team in Duke’s Office of Information Technology.,2022-08-12 17:11:38.665378,2022-12-28 17:06:46.489708
9,13,Instructor,Teaches engineering for accessibility,2022-08-12 17:12:23.614461,2022-08-12 17:12:23.614461
10,2,Instructor,"In her role as Lead Information Architect + UX Designer, Bendte loves partnering with Duke colleagues and OIT teams to create easy-to-use websites/mobile apps that meet business goals and user needs. She is a creative problem solver who believes that user research is key to providing recommendations for content structure and functionality. Bendte teaches UX research and information architecture classes for the Co-Lab. Outside of work, you can find her gardening, foraging for edible plants, cooking, and going to see live music (pop stars, electronic, bands on college radio, music festivals, and more).",2022-08-12 17:12:36.102187,2023-09-27 12:48:24.327457
