id,course_id,prerequisite_id,created_at,updated_at
1,114,2,2022-08-16 19:31:03.194265,2022-08-16 19:31:03.194265
2,114,113,2022-08-16 19:31:03.196435,2022-08-16 19:31:03.196435
3,170,93,2022-08-17 13:05:22.154883,2022-08-17 13:05:22.154883
4,94,127,2022-08-17 16:08:48.486673,2022-08-17 16:08:48.486673
5,181,123,2022-08-17 18:57:28.870862,2022-08-17 18:57:28.870862
6,14,124,2022-08-22 20:34:53.780725,2022-08-22 20:34:53.780725
7,41,156,2022-08-25 02:13:39.347661,2022-08-25 02:13:39.347661
8,122,156,2022-08-26 14:57:26.121940,2022-08-26 14:57:26.121940
9,184,156,2022-08-26 18:21:45.042844,2022-08-26 18:21:45.042844
10,5,178,2022-12-16 19:04:00.079489,2022-12-16 19:04:00.079489
11,190,102,2023-01-04 15:32:29.650858,2023-01-04 15:32:29.650858
12,190,153,2023-01-04 15:32:29.653457,2023-01-04 15:32:29.653457
14,196,124,2023-01-19 14:13:53.778993,2023-01-19 14:13:53.778993
15,214,213,2023-02-01 18:02:41.740734,2023-02-01 18:02:41.740734
16,215,213,2023-02-01 18:34:57.433565,2023-02-01 18:34:57.433565
17,215,214,2023-02-01 18:34:57.435626,2023-02-01 18:34:57.435626
21,217,213,2023-02-01 19:44:33.810420,2023-02-01 19:44:33.810420
22,217,214,2023-02-01 19:44:33.817146,2023-02-01 19:44:33.817146
23,217,215,2023-02-01 19:44:33.823263,2023-02-01 19:44:33.823263
30,106,113,2023-02-02 22:30:53.088541,2023-02-02 22:30:53.088541
31,106,115,2023-02-02 22:30:53.091040,2023-02-02 22:30:53.091040
32,216,213,2023-02-09 01:17:27.815278,2023-02-09 01:17:27.815278
33,216,214,2023-02-09 01:17:39.073825,2023-02-09 01:17:39.073825
35,226,217,2023-03-24 18:27:02.172852,2023-03-24 18:27:02.172852
36,228,137,2023-04-10 21:09:31.766258,2023-04-10 21:09:31.766258
38,215,216,2023-06-01 18:20:16.159439,2023-06-01 18:20:16.159439
39,215,217,2023-06-01 18:20:16.162464,2023-06-01 18:20:16.162464
40,236,124,2023-06-05 18:31:30.752574,2023-06-05 18:31:30.752574
41,236,145,2023-06-05 18:31:30.755389,2023-06-05 18:31:30.755389
44,244,1,2023-08-11 19:21:46.245392,2023-08-11 19:21:46.245392
45,244,156,2023-08-11 19:21:46.247467,2023-08-11 19:21:46.247467
46,244,171,2023-08-11 19:21:46.248855,2023-08-11 19:21:46.248855
47,244,173,2023-08-11 19:21:46.250086,2023-08-11 19:21:46.250086
48,245,189,2023-08-16 20:04:20.373766,2023-08-16 20:04:20.373766
49,246,189,2023-08-16 20:44:11.226078,2023-08-16 20:44:11.226078
50,246,245,2023-08-16 20:44:11.228000,2023-08-16 20:44:11.228000
51,254,253,2023-08-31 19:53:39.722776,2023-08-31 19:53:39.722776
52,255,253,2023-08-31 19:54:13.617821,2023-08-31 19:54:13.617821
53,255,254,2023-08-31 19:54:13.621009,2023-08-31 19:54:13.621009
54,262,2,2023-09-05 22:17:21.418694,2023-09-05 22:17:21.418694
55,262,113,2023-09-05 22:17:21.421396,2023-09-05 22:17:21.421396
56,262,115,2023-09-05 22:17:21.423283,2023-09-05 22:17:21.423283
57,263,262,2023-09-05 22:19:43.341222,2023-09-05 22:19:43.341222
