id,duid,affiliation
1,0700682,staff@duke.edu
2,0215274,staff@duke.edu
4,0278445,staff@duke.edu
5,0961968,alumni@duke.edu
6,1039866,staff@duke.edu
7,0909969,staff@duke.edu
8,0491157,staff
9,0599231,staff
10,0332800,staff@duke.edu
11,0416431,staff@duke.edu
12,0718300,staff@duke.edu
13,0967030,staff@duke.edu
14,0679389,staff@duke.edu
15,0574098,faculty@duke.edu
16,0621798,staff
17,0337090,staff@duke.edu
18,0663340,staff@duke.edu
19,1116941,staff@duke.edu
20,0570486,staff
21,0629622,staff@duke.edu
22,0378883,staff@duke.edu
23,1060680,staff@duke.edu
24,0736354,alumni@duke.edu
25,0417279,staff@duke.edu
26,0454401,staff@duke.edu
27,1050087,student@duke.edu
28,1183047,staff@duke.edu
29,1166499,student@duke.edu
30,1110822,staff@duke.edu
31,1184764,staff@duke.edu
32,0935590,student@duke.edu
33,0937370,staff@duke.edu
34,1182732,staff@duke.edu
35,1208191,student@duke.edu
36,1195060,student@duke.edu
37,1218563,student@duke.edu
38,1182728,student@duke.edu
39,1181839,student@duke.edu
40,1039791,staff@duke.edu
41,1241455,staff@duke.edu
42,0645241,staff@duke.edu
43,0654032,staff@duke.edu
44,0648894,student@duke.edu
45,0775802,staff@duke.edu
46,1220973,student@duke.edu
47,1000186907,faculty@duke.edu
48,1183792,student@duke.edu
49,1174913,student@duke.edu
50,0750326,student@duke.edu
51,0793172,student@duke.edu
52,1095903,staff@duke.edu
53,1105485,student@duke.edu
54,1007560,staff@duke.edu
55,0675967,alumni@duke.edu
56,1236999,student@duke.edu
57,1022437,student@duke.edu
58,1187833,student@duke.edu
59,1185035,student@duke.edu
60,1022404,alumni@duke.edu
61,1042094,student@duke.edu
62,0899058,student@duke.edu
63,1079575,staff@duke.edu
64,1049730,student@duke.edu
65,1043670,student@duke.edu
66,1013203,staff@duke.edu
67,1119919,student@duke.edu
68,1018387,student@duke.edu
69,1042913,staff@duke.edu
70,0932994,student@duke.edu
71,1095668,staff@duke.edu
72,1174540,student@duke.edu
73,0906262,student@duke.edu
74,0789136,staff@duke.edu
75,0872506,student@duke.edu
76,1054188,staff@duke.edu
77,0946093,alumni@duke.edu
78,1169612,staff@duke.edu
79,1066028,student@duke.edu
80,0681408,staff@duke.edu
81,1244099,staff@duke.edu
82,0338096,staff@duke.edu
83,0523469,staff@duke.edu
84,1041038,student@duke.edu
85,0749985,staff@duke.edu
86,0491143,staff@duke.edu
87,0935314,staff@duke.edu
88,0635174,staff@duke.edu
89,0307130,staff@duke.edu
90,1130876,student@duke.edu
91,1176782,student@duke.edu
92,0666461,staff@duke.edu
93,0000971,alumni@duke.edu
94,0486960,staff@duke.edu
95,0413496,staff@duke.edu
96,0971537,staff@duke.edu
97,0962479,student@duke.edu
98,1255255,staff@duke.edu
99,0195419,alumni@duke.edu
100,0707783,alumni@duke.edu
101,1122565,staff@duke.edu
102,1095311,staff@duke.edu
103,0751714,staff@duke.edu
104,0933443,student@duke.edu
105,0488457,staff
106,1021628,student@duke.edu
107,0722247,staff@duke.edu
108,1019114,staff@duke.edu
109,1243664,student@duke.edu
110,0931538,staff@duke.edu
111,1207130,student@duke.edu
112,0674175,alumni@duke.edu
113,0908832,staff@duke.edu
114,1097556,staff@duke.edu
115,0910274,student@duke.edu
116,1112824,student@duke.edu
117,1099249,student@duke.edu
118,1030789,student@duke.edu
119,0934673,staff@duke.edu
120,0933734,staff@duke.edu
121,1095927,student@duke.edu
122,1195405,student@duke.edu
123,1109138,student@duke.edu
124,0227304,alumni@duke.edu
125,0979847,student@duke.edu
126,0739613,student@duke.edu
127,1040344,student@duke.edu
128,0966188,student@duke.edu
129,0966429,student@duke.edu
130,1226782,staff@duke.edu
131,1125086,affiliate@duke.edu
132,0823586,staff@duke.edu
133,0398660,staff@duke.edu
134,1095444,student@duke.edu
135,0932623,staff@duke.edu
136,0671252,alumni@duke.edu
137,1020890,staff@duke.edu
138,0792328,staff@duke.edu
139,1052854,affiliate@duke.edu
140,0936689,staff@duke.edu
141,1096636,staff@duke.edu
142,1176522,student@duke.edu
143,1172230,student@duke.edu
144,0953010,student@duke.edu
145,1247776,staff@duke.edu
146,1165814,staff@duke.edu
147,0805555,staff@duke.edu
148,1250582,staff@duke.edu
149,1241862,staff@duke.edu
150,0949651,student@duke.edu
151,0692997,staff@duke.edu
152,1035400,student@duke.edu
153,1021500,student@duke.edu
154,1108669,student@duke.edu
155,0949787,affiliate@duke.edu
156,1202382,staff@duke.edu
157,0582490,staff@duke.edu
158,0910361,staff@duke.edu
159,1026337,alumni@duke.edu
160,1030671,affiliate@duke.edu
161,0994428,staff@duke.edu
162,1168057,student@duke.edu
163,1250995,faculty@duke.edu
164,0993506,staff@duke.edu
165,1068042,staff@duke.edu
166,0876504,student@duke.edu
167,1183796,student@duke.edu
168,0940560,student@duke.edu
169,1073559,student@duke.edu
170,0846562,student@duke.edu
171,1092334,student@duke.edu
172,1249288,staff@duke.edu
173,0799492,staff@duke.edu
174,0665738,staff@duke.edu
175,0933795,staff@duke.edu
176,0971968,staff@duke.edu
177,0098878,staff@duke.edu
178,0979069,staff@duke.edu
179,0765913,staff@duke.edu
180,1201959,student@duke.edu
181,1214783,staff@duke.edu
182,0964236,alumni@duke.edu
183,1163203,student@duke.edu
184,1119454,staff@duke.edu
185,0334836,staff@duke.edu
186,1255872,affiliate@duke.edu
187,0749962,student@duke.edu
188,0999362,student@duke.edu
189,1196904,student@duke.edu
190,1196343,student@duke.edu
191,1189248,staff@duke.edu
192,1008538,alumni@duke.edu
193,1102394,student@duke.edu
194,0832339,student@duke.edu
195,1097440,student@duke.edu
196,1040523,student@duke.edu
197,1049517,student@duke.edu
198,1083578,student@duke.edu
199,1201996,student@duke.edu
200,1187092,staff@duke.edu
201,1001704,staff@duke.edu
202,1054428,student@duke.edu
203,1045584,student@duke.edu
204,1187877,student@duke.edu
205,1118908,student@duke.edu
206,1234031,student@duke.edu
207,1212481,staff@duke.edu
208,1198937,student@duke.edu
209,1111602,student@duke.edu
210,1237598,student@duke.edu
211,0860943,student@duke.edu
212,1207373,student@duke.edu
213,1043792,student@duke.edu
214,1110680,staff@duke.edu
215,1060866,affiliate@duke.edu
216,1052812,affiliate@duke.edu
217,1052859,affiliate@duke.edu
218,1227242,student@duke.edu
219,0942215,student@duke.edu
220,0962419,student@duke.edu
221,0846563,alumni@duke.edu
222,0351365,staff@duke.edu
223,0995614,student@duke.edu
224,0837952,alumni@duke.edu
225,0967566,student@duke.edu
226,0382440,staff@duke.edu
227,0933959,staff@duke.edu
228,0937818,student@duke.edu
229,0822695,staff@duke.edu
230,1008801,student@duke.edu
231,0841956,student@duke.edu
232,1225993,student@duke.edu
233,0948636,staff@duke.edu
234,1039286,staff@duke.edu
235,1088909,student@duke.edu
236,1103446,student@duke.edu
237,1024163,student@duke.edu
238,1023344,staff@duke.edu
239,1118905,staff@duke.edu
240,1036859,staff@duke.edu
241,1069793,staff@duke.edu
242,0908526,student@duke.edu
