id,imageable_type,imageable_id,created_at,updated_at
1,Course,1,2023-09-27 15:16:23.078397,2023-09-27 15:16:23.168881
2,Course,1,2023-09-27 15:16:23.236941,2023-09-27 15:16:23.250039
3,Course,1,2023-09-27 15:16:23.465922,2023-09-27 15:16:23.588603
4,Course,2,2023-09-27 15:16:23.971651,2023-09-27 15:16:24.071042
5,Course,2,2023-09-27 15:16:24.272258,2023-09-27 15:16:24.340312
6,Course,2,2023-09-27 15:16:24.447403,2023-09-27 15:16:24.469945
7,Course,4,2023-09-27 15:16:24.508961,2023-09-27 15:16:24.521906
8,Course,4,2023-09-27 15:16:24.556124,2023-09-27 15:16:24.570689
9,Course,4,2023-09-27 15:16:24.607133,2023-09-27 15:16:24.619243
10,Course,5,2023-09-27 15:16:24.654474,2023-09-27 15:16:24.667452
11,Course,5,2023-09-27 15:16:24.702303,2023-09-27 15:16:24.714176
12,Course,5,2023-09-27 15:16:24.746540,2023-09-27 15:16:24.763793
13,Course,7,2023-09-27 15:16:24.799894,2023-09-27 15:16:24.811170
14,Course,7,2023-09-27 15:16:24.845039,2023-09-27 15:16:24.856590
15,Course,7,2023-09-27 15:16:24.893035,2023-09-27 15:16:24.906774
16,Course,8,2023-09-27 15:16:24.945105,2023-09-27 15:16:24.957928
17,Course,8,2023-09-27 15:16:24.993927,2023-09-27 15:16:25.006206
18,Course,8,2023-09-27 15:16:25.041182,2023-09-27 15:16:25.051457
19,Course,9,2023-09-27 15:16:25.085403,2023-09-27 15:16:25.094245
20,Course,9,2023-09-27 15:16:25.128817,2023-09-27 15:16:25.138973
21,Course,9,2023-09-27 15:16:25.173449,2023-09-27 15:16:25.183832
22,Course,14,2023-09-27 15:16:25.216413,2023-09-27 15:16:25.224561
23,Course,14,2023-09-27 15:16:25.258543,2023-09-27 15:16:25.291315
24,Course,14,2023-09-27 15:16:25.327226,2023-09-27 15:16:25.338643
25,Course,15,2023-09-27 15:16:25.379436,2023-09-27 15:16:25.393504
26,Course,15,2023-09-27 15:16:25.427232,2023-09-27 15:16:25.437668
27,Course,15,2023-09-27 15:16:25.476206,2023-09-27 15:16:25.487480
28,Course,19,2023-09-27 15:16:25.526659,2023-09-27 15:16:25.536525
29,Course,19,2023-09-27 15:16:25.570712,2023-09-27 15:16:25.584416
30,Course,19,2023-09-27 15:16:25.618949,2023-09-27 15:16:25.628671
31,Course,20,2023-09-27 15:16:25.664538,2023-09-27 15:16:25.676690
32,Course,20,2023-09-27 15:16:25.712148,2023-09-27 15:16:25.723319
33,Course,20,2023-09-27 15:16:25.756003,2023-09-27 15:16:25.767171
34,Course,21,2023-09-27 15:16:25.803383,2023-09-27 15:16:25.813949
35,Course,21,2023-09-27 15:16:25.849502,2023-09-27 15:16:25.859463
36,Course,21,2023-09-27 15:16:25.895132,2023-09-27 15:16:25.907999
37,Course,23,2023-09-27 15:16:25.943585,2023-09-27 15:16:25.956891
38,Course,23,2023-09-27 15:16:25.993798,2023-09-27 15:16:26.014124
39,Course,23,2023-09-27 15:16:26.047522,2023-09-27 15:16:26.060225
40,Course,24,2023-09-27 15:16:26.096262,2023-09-27 15:16:26.106249
41,Course,24,2023-09-27 15:16:26.139885,2023-09-27 15:16:26.151959
42,Course,24,2023-09-27 15:16:26.185988,2023-09-27 15:16:26.196308
43,Course,26,2023-09-27 15:16:26.230382,2023-09-27 15:16:26.240809
44,Course,26,2023-09-27 15:16:26.277237,2023-09-27 15:16:26.291099
45,Course,26,2023-09-27 15:16:26.326428,2023-09-27 15:16:26.339937
46,Course,28,2023-09-27 15:16:26.377322,2023-09-27 15:16:26.388627
47,Course,28,2023-09-27 15:16:26.421621,2023-09-27 15:16:26.433033
48,Course,28,2023-09-27 15:16:26.466354,2023-09-27 15:16:26.477583
49,Course,29,2023-09-27 15:16:26.517650,2023-09-27 15:16:26.529015
50,Course,29,2023-09-27 15:16:26.564976,2023-09-27 15:16:26.576644
51,Course,29,2023-09-27 15:16:26.615490,2023-09-27 15:16:26.627193
52,Course,30,2023-09-27 15:16:26.664065,2023-09-27 15:16:26.675265
53,Course,30,2023-09-27 15:16:26.711407,2023-09-27 15:16:26.725422
