id,course_id,location_id,start,end,synchronous,remote_url_title,remote_url,capacity,effort,published_at,cancelled_at,created_at,updated_at,start_epoch,end_epoch
3,122,4,2022-08-12 16:14:00,2022-08-12 16:15:00,1,,,,1,2022-08-12 16:12:17.495894,,2022-08-12 16:11:32.089039,2023-07-25 19:07:04.647573,1660320840,1660320900
10,9,3,2022-11-15 20:00:00,2022-11-15 22:00:00,1,,,14,120,2022-08-12 17:29:14.247118,,2022-08-12 17:28:15.654413,2023-07-25 19:07:05.185254,1668542400,1668549600
12,142,1,2022-09-15 17:00:00,2022-09-15 19:00:00,1,,,20,120,2022-08-12 17:36:10.343575,,2022-08-12 17:35:59.164988,2023-07-25 19:07:05.223003,1663261200,1663268400
13,156,4,2022-09-06 19:00:00,2022-09-06 21:00:00,1,Zoom Link,https://duke.zoom.us/j/99058789780?pwd=ZzgxNGZmWXo0ZlNrcWhFeWppNU9TQT09,30,120,2022-08-12 17:38:25.800327,,2022-08-12 17:37:16.237305,2023-07-25 19:07:05.263409,1662490800,1662498000
14,29,1,2022-11-22 18:00:00,2022-11-22 20:00:00,1,,,15,120,2022-08-12 17:47:03.958032,,2022-08-12 17:43:18.874330,2023-07-25 19:07:05.309349,1669140000,1669147200
15,124,1,2022-09-08 19:00:00,2022-09-08 21:00:00,1,,,20,120,2022-08-12 17:43:50.776193,,2022-08-12 17:43:40.916438,2023-07-25 19:07:05.342786,1662663600,1662670800
16,165,1,2022-11-14 20:00:00,2022-11-14 22:00:00,1,,,30,120,2022-08-12 17:47:10.167340,,2022-08-12 17:46:05.663248,2023-07-25 19:07:05.375735,1668456000,1668463200
17,19,4,2022-09-09 17:00:00,2022-09-09 19:00:00,1,Zoom Link,https://duke.zoom.us/j/99208185275,30,120,2022-08-12 17:48:03.083962,,2022-08-12 17:47:25.900484,2023-07-25 19:07:05.414814,1662742800,1662750000
18,33,1,2022-11-09 20:00:00,2022-11-09 22:00:00,1,,,30,120,2022-08-12 17:53:09.473843,,2022-08-12 17:48:38.753495,2023-07-25 19:07:05.446612,1668024000,1668031200
19,135,1,2022-09-12 17:00:00,2022-09-12 19:00:00,1,,,20,120,2022-08-12 17:49:25.881429,,2022-08-12 17:49:14.643815,2023-07-25 19:07:05.477526,1663002000,1663009200
20,2,1,2022-09-12 19:00:00,2022-09-12 21:00:00,1,,,20,120,2022-08-12 17:50:31.437251,,2022-08-12 17:50:22.142573,2023-07-25 19:07:05.511765,1663009200,1663016400
21,153,1,2022-09-20 19:00:00,2022-09-20 21:00:00,1,,,20,120,2022-08-12 17:52:35.644856,,2022-08-12 17:52:14.473235,2023-07-25 19:07:05.547954,1663700400,1663707600
22,7,4,2022-09-14 17:00:00,2022-09-14 19:00:00,1,Zoom Link,https://duke.zoom.us/j/95337945038?pwd=MGtHRnZiOTVnT3FVdk5VdUY5a0x2dz09,30,120,2022-08-12 17:54:07.752088,,2022-08-12 17:53:53.092976,2023-07-25 19:07:05.581811,1663174800,1663182000
23,8,3,2022-09-15 19:00:00,2022-09-15 21:00:00,1,,,14,120,2022-08-12 17:58:19.361392,,2022-08-12 17:58:07.125086,2023-07-25 19:07:05.614460,1663268400,1663275600
24,122,1,2022-09-13 17:00:00,2022-09-13 19:00:00,1,,,20,120,2022-08-12 18:00:05.600798,,2022-08-12 17:59:59.923740,2023-07-25 19:07:05.644978,1663088400,1663095600
25,124,4,2022-09-19 17:00:00,2022-09-19 19:00:00,1,Zoom Link,https://duke.zoom.us/j/98604547983?pwd=TVE2VEdObUN6T25WbUFvNzUvOVRMUT09,30,120,2022-08-12 18:03:25.636508,,2022-08-12 18:01:24.069005,2023-07-25 19:07:05.676687,1663606800,1663614000
26,113,1,2022-09-19 19:00:00,2022-09-19 21:00:00,1,,,20,120,2022-08-12 18:04:32.628895,,2022-08-12 18:04:22.965257,2023-07-25 19:07:05.707695,1663614000,1663621200
27,4,4,2022-09-21 17:00:00,2022-09-21 19:00:00,1,Zoom Link,https://duke.zoom.us/j/94070908719?pwd=aGNXQ095M2FsR3E3NUJBVStUNjVDZz09,30,120,2022-08-12 18:06:39.037117,,2022-08-12 18:06:33.839802,2023-07-25 19:07:05.743299,1663779600,1663786800
28,127,1,2022-09-21 18:00:00,2022-09-21 20:00:00,1,,,20,120,2022-08-12 18:09:06.226703,,2022-08-12 18:08:55.239376,2023-07-25 19:07:05.773057,1663783200,1663790400
29,135,4,2022-09-22 19:00:00,2022-09-22 21:00:00,1,Zoom Link,https://duke.zoom.us/j/91253535325?pwd=QW5yOUFwRnpKSDdJc2hsNHh1bXhpZz09,30,120,2022-08-12 18:10:32.102534,,2022-08-12 18:10:20.486609,2023-07-25 19:07:05.816138,1663873200,1663880400
