Page Number,Title,Description
1, Github Pages,"So you coded a whole website and now you'd like to get it off your computer and into the world wide web, but you don't want to spend any money and you are also terrified of going through the hosting process on your own? If that sounds like you, search no more, you have found the workshop for you! In this class, we will go over using github pages as a website host for this small portfolio website you need to put out there for free, and will walk you through every step of the way. No knowledge or anything else required, but if you have your own website, then the workshop will obviously be a bit more beneficial than if you don't (it doesn't have to be finished)."
1, Linux & the Bash Shell,"Though we may not be consciously aware, Linux is powering the world around us. From supercomputers, to smartphones, to automobiles--Linux is often found ""under the hood"". Its open source nature has led to hundreds of distributions and wide adaptation throughout the industry. This course aims to explore how to work in the Linux environment. In order to do that we will learn how to use the Bash Shell, which is a command line and shell for Linux operating systems. We use bash to quickly execute simple to complex commands on a machine, and we will learn how this gives us much more control and speed than using a graphical interface to which most of us are accustomed. "
1, Linocut Printmaking,"Come make your very own beautiful art print to hang in your dorm room or apartment! In this workshop students will learn the basics of lino-cut printmaking. Students will be provided with a small piece of soft linoleum and a carving tool to create their design. Once carved each student will have the opportunity to make a series of prints to take home in various colors.
*Note: due to time it will be helpful if students can come prepared with some simple design ideas."
1, Laser Cutting with Illustrator,"Whether you barely know Illustrator or have never touched the laser cutters (or you just want to come and make something with us) this class is a good starting point. In this class you will learn the basic use of Illustrator in regards to laser cutting while making a fun and easy project you will be able to take home with you. You will also be walked through the process of using the laser cutters in the lab so that next time you come by, you will know exactly what to do and how!
This class assumes that you have opened Illustrator before and know where most tools are located in the interface, but you do not need extensive experience of the program."
1, Basketry with a Twist,"Learn to make a twined basket. Using wetted reed, you will learn a simple basket weaving technique that will make a quick and lovely container. All materials are provided."
2, Introduction to Wheel Throwing ,"Learn how to throw pottery on the wheel! In this introductory class, you will learn the basics of centering and throwing cylinders. This class is focused on gaining an introduction into throwing techniques rather than creating a finished product and is a prerequisite to using the Arts Annex pottery wheels during open studio hours.
This is a Zero-Waste Duke Arts Create class. Students will practice on the wheel and their clay will be recycled for the next class. Clay may be recycled indefinitely before it has been fired. Once clay is fired it lasts virtually forever and will not breakdown. Duke Arts Create supports ethical and sustainable artistic practices and therefore will not be firing work produced during this class.
After completing Duke Arts Create Introduction to Wheel Throwing, students may work in the Arts Annex clay studio during open studio hours or come to Duke Arts Create Intermediate Wheel Throwing to complete a work to fire and keep.
PLEASE NOTE: This will be a 3-hour workshop beginning at 5:30PM. Space is limited to only 12 participants. Please only enroll if you are sure you can attend. If you must cancel, please do so well in advance so another person can take your place. We anticipate the waitlist for this workshop will exceed 100 people."
2, Epoxy Pouring: Make Your Own Dice,"Popular for making everything from jewelry, to dishes, to decorating counters, and more, learn the basics of using Epoxy Resin to make beautifully expressive and unique artworks.In this workshop, you’ll make a set of custom dice! One week after this course, you’ll have to come back to remove your dice from the mold and paint in the numbers."
2," ChatGPT- Ins and Outs, Tips and Tricks","ChatGPT is an incredible tools that can generate strings of human-like text from simple prompts. Whether used for good or evil, ChatGPT can be very useful. So this class will serve as an introduction not just to the cool things you can do with ChatGPT, but also the world of Machine Learning and Large Language Models."
2, Intro to Cryptography,"In Intro to Cryptography, we will explore ways to ensure that the information sent and received is kept confidential and can be trusted during common activities such as web browsing, remote access, and online communication. We will learn about and implement a variety of encoding and encryption schemes, and learn when and why to use the various techniques. We will also discuss strengths and weaknesses of various encryption algorithms.
This class will introduce you to the main encryption/hashing/encoding schemes being used in digital commuications today, including some subset of the following:

Base64 and Base85 encoding
MD5 and SHA-2 hashing
Stream ciphers vs block ciphers
DES, AES, RSA Encryption
Diffie-Hellman Key Exchange

 
This class will culminate in a series of hands-on challenges where users will be given a succession of decryption challenges to practice what they have learned.
 "
2, Set Up Your Virtual Machine,"Sometimes we are limited on what we can install on our laptop because of the OS or other reasons. Sometimes, we're not sure how to install something and we need it right now! During those times, we need a Virtual Machine that got all the things you don't have. If you’re wondering what a Virtual Machine (VM) is, the answer actually isn’t too complicated. The main purpose of VMs is to operate multiple operating systems at the same time, from the same piece of hardware (aka your computer).
The purpose of this class is to help you set up the VM that Duke will be happy to provide you. No experience needed."
3, Introduction to CAM and Toolpathing in Fusion360,"Introduction to Toolpathing in Fusion360 continues down the path of feature exploration where students can expect to learn more about features of the tool for machining on popular CNC devices like the CoLab’s ShopBot mills. Often computer aided manufacturing (CAM) software tools are standalone products, Fusion360 integrates those functions into a simple-to-use interface. Introduction to Toolpathing in Fusion360 does not require prior completion of our Roots CAD classes, but it is recommended that you have prior CAD experience. The instructor will demystify the world of computer aided manufacturing by leading the class through three examples of water jet cutting, CNC routing and CNC milling with CAD models provided."
3, Digitized Embroidery,"Digitized Embroidery sits squarely at the intersection of CAD, machine sewing, and hand embroidery. You’ve seen the work of embroidery machines on hats, patches, and maybe even monogrammed towels. You can get some really professional-looking results in a fraction of the time of embroidering by hand, but it comes with its own set of design constraints and physical limitations. In this Roots class, you’ll take the experience you’ve acquired in these different areas and apply them to this unique fabrication method, and once you’ve completed this class you should be equipped with the skills and knowledge to approach this craft on your own!
Sample fabric and embroidery thread will be provided. If you want to embroider your own piece of fabric, then you can make a reservation at any point after the class."
